Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
8-Jan-22,05,"1,124.80","1,218.38",130.88,131.60,0.00,-0.72,115.55,115.89,0.14,-0.48,14,2
8-Jan-22,06,"1,170.50","1,256.98",128.49,128.74,0.00,-0.25,135.73,135.78,0.23,-0.28,12,1
8-Jan-22,07,"1,233.60","1,332.05",148.13,148.58,0.00,-0.45,135.74,135.96,0.18,-0.40,11,0
8-Jan-22,08,"1,320.70","1,415.98",149.33,149.36,0.04,-0.07,149.43,149.58,0.00,-0.15,10,0
8-Jan-22,09,"1,404.80","1,493.75",159.61,159.38,0.00,0.23,171.51,171.13,0.00,0.38,10,-1
8-Jan-22,10,"1,405.60","1,536.77",162.76,162.67,0.00,0.09,209.45,208.70,0.00,0.75,12,0
8-Jan-22,11,"1,440.20","1,540.34",157.34,157.01,0.00,0.33,228.03,227.06,0.00,0.97,14,1
8-Jan-22,12,"1,394.00","1,527.47",132.37,131.79,0.00,0.58,239.94,239.15,0.00,0.79,17,3
8-Jan-22,13,"1,396.60","1,501.24",127.47,126.96,0.00,0.51,214.47,213.77,0.00,0.70,20,3
8-Jan-22,14,"1,361.30","1,478.16",119.89,119.56,0.00,0.33,134.34,133.91,0.00,0.43,22,2
8-Jan-22,15,"1,404.30","1,464.68",124.59,123.93,0.00,0.66,136.34,135.93,0.00,0.41,24,0
8-Jan-22,16,"1,422.10","1,485.63",134.83,133.84,0.00,0.99,171.11,170.46,0.00,0.65,23,0
8-Jan-22,17,"1,538.30","1,575.06",174.72,174.48,0.00,0.24,237.54,236.65,0.00,0.89,22,0
8-Jan-22,18,"1,629.20","1,678.12",208.02,207.86,0.00,0.16,255.22,254.06,0.00,1.16,19,1
8-Jan-22,19,"1,611.90","1,661.53",205.37,205.39,0.00,-0.02,233.11,232.49,0.00,0.62,13,5
8-Jan-22,20,"1,537.60","1,611.63",192.78,192.34,0.00,0.44,226.93,226.37,0.00,0.56,8,3
8-Jan-22,21,"1,477.30","1,555.18",183.35,183.01,0.00,0.34,177.74,177.28,0.00,0.46,7,3
8-Jan-22,22,"1,429.50","1,477.69",152.84,152.59,0.00,0.25,145.87,145.61,0.00,0.26,6,3
8-Jan-22,23,"1,316.70","1,389.43",152.22,152.30,0.01,-0.09,126.52,126.04,0.13,0.35,3,1
8-Jan-22,24,"1,216.50","1,306.24",144.45,144.56,0.01,-0.12,112.65,112.59,0.11,-0.05,5,2
9-Jan-22,01,"1,177.70","1,242.99",157.07,157.70,0.01,-0.64,120.41,120.55,0.05,-0.19,8,5
9-Jan-22,02,"1,151.10","1,205.51",139.91,140.33,0.00,-0.42,112.44,112.70,0.03,-0.29,11,7
9-Jan-22,03,"1,121.50","1,180.68",139.94,140.40,0.00,-0.46,127.16,127.48,0.06,-0.38,11,7
9-Jan-22,04,"1,117.70","1,168.23",132.19,132.69,0.00,-0.50,120.48,120.98,0.05,-0.55,15,9
9-Jan-22,05,"1,126.20","1,169.93",132.13,132.53,0.00,-0.40,129.58,130.09,0.06,-0.57,18,9
9-Jan-22,06,"1,151.90","1,192.67",141.50,141.90,0.00,-0.40,126.24,126.61,0.06,-0.43,20,9
9-Jan-22,07,"1,212.20","1,239.94",130.01,130.13,0.00,-0.12,120.25,120.50,0.05,-0.30,22,11
9-Jan-22,08,"1,321.20","1,303.03",131.90,131.61,0.00,0.29,111.47,111.48,0.02,-0.03,24,13
9-Jan-22,09,"1,381.00","1,377.85",140.72,140.40,0.00,0.32,127.48,127.25,0.05,0.18,25,14
9-Jan-22,10,"1,396.70","1,446.49",149.00,148.57,0.00,0.43,140.33,140.00,0.00,0.33,30,15
9-Jan-22,11,"1,441.60","1,496.64",148.10,147.65,0.00,0.45,141.14,140.52,0.07,0.55,33,18
9-Jan-22,12,"1,439.80","1,529.21",144.95,144.39,0.00,0.56,158.67,157.92,0.10,0.65,33,21
9-Jan-22,13,"1,439.90","1,529.74",143.18,142.62,0.01,0.55,129.36,128.76,0.01,0.59,34,27
